Information listing created by	marti
Date	07-Dec-2023 23:39:24
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\Projeto MComp\projetoMComp_fem1.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  62                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 32 6 17 172 113 173
  63                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 23 32 33 174 175 171
  64                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 23 6 32 149 172 174
  65                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 37 420 29 176 177 178
  66                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 419 37 16 179 180 110
  67                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 419 420 37 434 176 179
  68                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 16 36 17 181 182 118
  69                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 16 37 36 180 183 181
  70                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 37 35 36 184 185 183
  71                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 35 29 30 186 187 188
  72                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 35 37 29 184 178 186
  73                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 32 38 33 189 190 175
  74                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 36 32 17 191 173 182
  75                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 38 36 35 192 185 193
  76                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 38 32 36 189 191 192
  77                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 33 39 34 194 195 170
  78                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 33 38 39 190 196 194
  79                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 10 41 11 197 198 103
  80                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 41 454 455 199 464 200
  81                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 41 10 454 197 97 199
  82                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 34 41 455 201 200 167
  83                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 40 34 39 202 195 203
  84                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 40 41 34 204 201 202
  85                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 42 35 30 205 188 206
  86                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 38 42 39 207 208 196
  87                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 38 35 42 193 205 207
  88                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 43 5 12 209 106 210
  89                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 43 31 5 211 212 209
  90                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 31 42 30 213 206 214
  91                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 31 43 42 211 215 213
  92                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 39 43 40 216 217 203
  93                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 39 42 43 208 215 216
  94                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 40 11 41 218 198 204
  95                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 12 40 43 219 217 210
  96                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 12 11 40 108 218 219
