Information listing created by	marti
Date	11-Dec-2023 21:00:54
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\SOFCOM_G32\Simulation T6\T6 - MALHA BASE\projetoMComp_fem1.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  64                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 514 47 513 200 201 526
  65                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 48 514 515 202 527 203
  66                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 47 48 46 204 205 206
  67                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 47 514 48 200 202 204
  68                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 46 39 38 207 161 208
  69                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 46 48 39 205 209 207
  70                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 28 48 515 210 203 211
  71                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 28 39 48 163 209 210
  72                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 49 47 46 212 206 213
  73                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 50 513 47 214 201 215
  74                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 571 50 460 216 217 461
  75                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 571 513 50 528 214 216
  76                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 49 50 47 218 215 212
  77                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 50 459 460 219 462 217
  78                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 50 49 459 218 220 219
  79                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 51 38 37 221 181 222
  80                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 46 51 49 223 224 213
  81                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 46 38 51 208 221 223
  82                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 52 49 51 225 224 226
  83                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 459 52 458 227 228 463
  84                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 459 49 52 220 225 227
  85                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 53 37 36 229 179 230
  86                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 51 53 52 231 232 226
  87                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 51 37 53 222 229 231
  88                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 52 457 458 233 464 228
  89                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 52 53 457 232 234 233
  90                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 54 36 35 235 169 236
  91                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 53 54 457 237 238 234
  92                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 53 36 54 230 235 237
  93                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 54 456 457 239 465 238
  94                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 456 498 570 240 505 466
  95                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 498 54 35 241 236 172
  96                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 498 456 54 240 239 241
  97                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 467 31 572 242 243 481
  98                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 467 4 31 157 186 242
  99                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 27 31 30 244 191 245
  100                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 27 572 31 246 243 244
  101                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 30 26 27 247 248 245
  102                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 30 29 26 166 249 247
  103                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 516 28 515 250 211 529
  104                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 516 25 28 251 252 250
  105                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 29 25 26 253 254 249
  106                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 29 28 25 164 252 253
  107                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 517 25 516 255 251 530
  108                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 55 517 518 256 531 257
