Information listing created by	marti
Date	07-Dec-2023 23:26:24
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\Projeto MComp\projetoMComp_fem2.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  70                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 37 35 36
  71                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 35 29 30
  72                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 35 37 29
  73                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 32 38 33
  74                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 36 32 17
  75                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 38 36 35
  76                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 38 32 36
  77                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 33 39 34
  78                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 33 38 39
  79                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 10 41 11
  80                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 41 118 119
  81                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 41 10 118
  82                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 34 41 119
  83                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 40 34 39
  84                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 40 41 34
  85                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 42 35 30
  86                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 38 42 39
  87                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 38 35 42
  88                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 43 5 12
  89                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 43 31 5
  90                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 31 42 30
  91                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 31 43 42
  92                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 39 43 40
  93                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 39 42 43
  94                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 40 11 41
  95                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 12 40 43
  96                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 12 11 40
  97                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 44 25 27
  98                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 101 44 100
  99                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 101 25 44
  100                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 27 45 44
  101                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 28 45 27
  102                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 45 46 31
